COD PROVEIDOR;NUM. FRA.;DATA;Base Imposable;% IVA;Trimestre;Empty00;Num;Extraccio: NUM. FRA.2;Extraccio: DATA;Extraccio: NIF;Extraccio: PROVEIDOR;Extraccio: COMPTE;Extraccio: Base Imposable;Extraccio: %;Empty01;Empty02;Empty03;Empty04;Empty05;Extraccio: ES FACTURA?  SI/NO;Extraccio: ACTIVITAT EXEMPTA IVA?;Extraccio: PAIS;Extraccio: DESCRIPCIO INVERSIO
Netcup;nc-4465293;24/08/2025;0;21;3; ;5;nc-4465293;24/08/2025;DE262851304;netcup GmbH;629;0;0,21; ; ; ; ; ;SI;;Alemania;Netcup
Netcup;nc-4465293;08/09/2025;5,26;21;3; ;6;nc-4465293;08/09/2025;DE262851304;netcup GmbH;629;5,26;0,21; ; ; ; ; ;SI;;Alemania;Netcup
Serveis Microsoft Office;G102364556;15/07/2025;5,88;21;3; ;7;G102364556;15/07/2025;ESB78603495;Microsoft Iberica S.R.L.;629;5,88;0,21; ; ; ; ; ;SI;;España;Serveis Microsoft Office
Serveis Microsoft Office;G107739191;15/08/2025;5,88;21;3; ;8;G107739191;15/08/2025;ESB78603495;Microsoft Iberica S.R.L.;629;5,88;0,21; ; ; ; ; ;SI;;España;Serveis Microsoft Office
Serveis Microsoft Office;G113705976;15/09/2025;5,88;21;3; ;9;G113705976;15/09/2025;ESB78603495;Microsoft Iberica S.R.L.;629;5,88;0,21; ; ; ; ; ;SI;;España;Serveis Microsoft Office
B2Barcelona;25-0009;01/07/2025;61,98;21;3; ;10;25-0009;01/07/2025;G75416909;ASOC B2Barcelona;621;61,98;0,21; ; ; ; ; ;SI;;España;B2Barcelona
B2Barcelona;25-0010;01/07/2025;123,97;21;3; ;11;25-0010;01/07/2025;G75416909;ASOC B2Barcelona;621;123,97;0,21; ; ; ; ; ;SI;;España;B2Barcelona
B2Barcelona;25-0011;01/07/2025;123,97;21;3; ;12;25-0011;01/07/2025;G75416909;ASOC B2Barcelona;621;123,97;0,21; ; ; ; ; ;SI;;España;B2Barcelona
B2Barcelona;25-0014;01/07/2025;123,97;21;3; ;13;25-0014;01/07/2025;G75416909;ASOC B2Barcelona;621;123,97;0,21; ; ; ; ; ;SI;;España;B2Barcelona
B2Barcelona;25-0018;01/07/2025;123,97;21;3; ;14;25-0018;01/07/2025;G75416909;ASOC B2Barcelona;621;123,97;0,21; ; ; ; ; ;SI;;España;B2Barcelona
B2Barcelona;25-0023;01/07/2025;123,97;21;3; ;15;25-0023;01/07/2025;G75416909;ASOC B2Barcelona;621;123,97;0,21; ; ; ; ; ;SI;;España;B2Barcelona
B2Barcelona;25-0031;01/07/2025;123,97;21;3; ;16;25-0031;01/07/2025;G75416909;ASOC B2Barcelona;621;123,97;0,21; ; ; ; ; ;SI;;España;B2Barcelona
B2Barcelona;25-0047;01/07/2025;50;0;3; ;17;25-0047;01/07/2025;G75416909;ASOC B2Barcelona;629;50;0; ; ; ; ; ;SI;;España;B2Barcelona
B2Barcelona;25-0048;01/07/2025;148,76;21;3; ;18;25-0048;01/07/2025;G75416909;ASOC B2Barcelona;621;148,76;0,21; ; ; ; ; ;SI;;España;B2Barcelona
Host Web;HCY-13108757;05/04/2025;9,67;0;4; ;7;HCY-13108757;05/04/2025;CY10301365E;Hostinger;629;9,67;0; ; ; ; ; ;SI;;Chipre;Host Web
